country_code,zone,besoins_energetiques_alimentaires_moyens_(kcal/personne/jour),densite_du_reseau_ferroviaire_(pour_100_km_carres_de_surface_totale_du_pays),"pib_par_habitant,_($_ppa_internationaux_constants_de_2017)","part_des_cereales,_des_racines_et_des_tubercules_dans_les_apports_energetiques_alimentaires_(%)_(moyenne_sur_3_ans)",pourcentage_des_terres_arables_amenagees_pour_l'irrigation_(%)_(moyenne_sur_3_ans),stabilite_politique_et_absence_de_violence/terrorisme_(indice),suffisance_des_apports_energetiques_alimentaires_moyens_(%)_(moyenne_sur_3_ans),taux_de_dependance_a_l'egard_des_importations_cerealieres_(%)_(moyenne_sur_3_ans),valeur_des_importations_alimentaires_par_rapport_aux_exportations_totales_de_marchandises_(%)_(moyenne_sur_3_ans),variabilite_des_disponibilites_alimentaires_par_habitant_(kcal/personne/jour)
59,Égypte,2340.0,0.0,15572.8,64.0,4.0,-1.18,134.0,44.0,45.0,19.0
6,Andorre,0.0,0.0,55260.3,0.0,0.3,1.59,0.0,0.0,0.0,0.0
60,El Salvador,2308.0,0.0,9801.9,49.0,2.2,-0.12,121.0,53.8,36.0,40.0
61,Guinée équatoriale,2289.0,0.0,18320.1,0.0,0.1,-0.22,0.0,0.0,6.0,0.0
63,Estonie,2538.0,0.0,41749.5,22.0,0.1,0.71,129.0,-133.0,8.0,52.0
66,Fidji,2375.0,0.0,11188.2,43.0,0.2,0.66,120.0,82.2,37.0,39.0
67,Finlande,2557.0,1.7,56368.8,32.0,0.2,0.98,131.0,-10.4,6.0,27.0
68,France,2497.0,5.1,50724.5,29.0,5.2,0.28,143.0,-87.8,9.0,17.0
7,Angola,2143.0,0.0,7562.1,63.0,0.1,-0.6,112.0,40.8,8.0,32.0
70,Polynésie française,2440.0,0.0,0.0,35.0,0.3,0.0,117.0,0.0,326.0,28.0
72,Djibouti,2387.0,0.0,5852.8,53.0,0.0,-0.45,117.0,100.0,41.0,22.0
73,Géorgie,2450.0,2.0,16856.2,47.0,1.6,-0.43,125.0,63.4,27.0,65.0
74,Gabon,2296.0,0.2,19666.6,51.0,0.0,-0.07,114.0,90.2,9.0,44.0
75,Gambie,2256.0,0.0,2652.6,52.0,0.5,0.25,109.0,87.0,557.0,27.0
79,Allemagne,2537.0,9.3,60065.5,24.0,1.9,0.64,143.0,1.6,5.0,22.0
8,Antigua-et-Barbuda,2472.0,0.0,23704.0,28.0,0.9,0.93,0.0,100.0,489.0,0.0
80,Bosnie-Herzégovine,2502.0,0.0,16869.7,41.0,0.1,-0.45,134.0,33.4,23.0,19.0
81,Ghana,2293.0,0.0,6354.4,67.0,1.0,0.17,134.0,38.4,17.0,71.0
83,Kiribati,2233.0,0.0,2093.3,32.0,0.0,1.16,139.0,0.0,385.0,32.0
84,Grèce,2520.0,1.8,30096.8,27.0,15.3,0.12,134.0,35.7,16.0,35.0
85,Groenland,0.0,0.0,67560.3,0.0,0.0,1.91,0.0,0.0,0.0,0.0
86,Grenade,2481.0,0.0,13788.9,24.0,5.9,1.03,0.0,99.7,328.0,0.0
89,Guatemala,2209.0,0.0,11376.6,45.0,3.1,-0.42,122.0,55.5,25.0,17.0
9,Argentine,2433.0,0.0,23785.8,33.0,0.9,-0.07,136.0,-141.5,5.0,31.0
90,Guinée,2220.0,0.0,3683.8,64.0,0.4,-0.67,129.0,28.8,13.0,19.0
91,Guyana,2319.0,0.0,19482.1,39.0,0.7,-0.14,136.0,-25.8,10.0,44.0
93,Haïti,2351.0,0.0,3211.5,54.0,3.5,-1.03,89.0,83.6,134.0,28.0
95,Honduras,2304.0,0.0,5672.2,43.0,0.8,-0.45,115.0,65.3,18.0,8.0
96,Chine - RAS de Hong-Kong,2432.0,0.0,61328.4,27.0,1.0,0.06,128.0,100.0,4.0,73.0
97,Hongrie,2527.0,8.2,35937.8,28.0,2.1,0.84,133.0,-91.8,4.0,26.0
98,Croatie,2492.0,3.0,31124.0,28.0,0.8,0.61,129.0,-51.0,17.0,34.0
99,Islande,2561.0,0.0,59801.9,28.0,0.0,1.37,142.0,92.5,10.0,44.0
