Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","5166","Residuals","21511.03","Fat of poultry","2020","2020","tonnes","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","5141","Food supply quantity (tonnes)","21511.03","Fat of poultry","2020","2020","tonnes","0.2","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","664","Food supply (kcal/capita/day)","21511.03","Fat of poultry","2020","2020","kcal/capita/day","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","665","Food supply quantity (g/capita/day)","21511.03","Fat of poultry","2020","2020","g/capita/day","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","674","Protein supply quantity (g/capita/day)","21511.03","Fat of poultry","2020","2020","g/capita/day","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","684","Fat supply quantity (g/capita/day)","21511.03","Fat of poultry","2020","2020","g/capita/day","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","261","Calories/Year","21511.03","Fat of poultry","2020","2020","million kcal","1.26","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","271","Proteins/Year","21511.03","Fat of poultry","2020","2020","tonnes","0.01","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","281","Fats/Year","21511.03","Fat of poultry","2020","2020","tonnes","0.14","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","5113","Opening stocks","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","5510","Production","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","260268.79","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","5610","Import Quantity","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","0.49","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","5071","Stock Variation","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","0","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","5910","Export Quantity","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","568.5","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","5166","Residuals","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","5141","Food supply quantity (tonnes)","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","259700.78","E","Estimated value"
