Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","112","Belarus","5622","Import Value","21522","Poultry fat, rendered","2020","2020","1000 US$","26","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5910","Export Quantity","21522","Poultry fat, rendered","2020","2020","tonnes","1.19","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5922","Export Value","21522","Poultry fat, rendered","2020","2020","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5609","Import Quantity","02151","Chickens","2020","2020","1000 Head","142038","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5622","Import Value","02151","Chickens","2020","2020","1000 US$","200401","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5909","Export Quantity","02151","Chickens","2020","2020","1000 Head","126208","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5922","Export Value","02151","Chickens","2020","2020","1000 US$","155737","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5610","Import Quantity","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","tonnes","18317.26","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5622","Import Value","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","1000 US$","14049","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5910","Export Quantity","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","tonnes","33138.86","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5922","Export Value","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","1000 US$","16162","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5610","Import Quantity","21511.03","Fat of poultry","2020","2020","tonnes","176.25","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5622","Import Value","21511.03","Fat of poultry","2020","2020","1000 US$","201","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5910","Export Quantity","21511.03","Fat of poultry","2020","2020","tonnes","415.93","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5922","Export Value","21511.03","Fat of poultry","2020","2020","1000 US$","444","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5610","Import Quantity","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","204128.5","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5622","Import Value","21121","Meat of chickens, fresh or chilled","2020","2020","1000 US$","370316","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5910","Export Quantity","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","458749.07","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5922","Export Value","21121","Meat of chickens, fresh or chilled","2020","2020","1000 US$","796166","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5610","Import Quantity","21522","Poultry fat, rendered","2020","2020","tonnes","1169.77","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5622","Import Value","21522","Poultry fat, rendered","2020","2020","1000 US$","1654","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5910","Export Quantity","21522","Poultry fat, rendered","2020","2020","tonnes","4533.82","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5922","Export Value","21522","Poultry fat, rendered","2020","2020","1000 US$","3663","A","Official figure"
"TCL","Crops and livestock products","084","Belize","5609","Import Quantity","02151","Chickens","2020","2020","1000 Head","140","I","Imputed value"
"TCL","Crops and livestock products","084","Belize","5622","Import Value","02151","Chickens","2020","2020","1000 US$","731","A","Official figure"
"TCL","Crops and livestock products","084","Belize","5610","Import Quantity","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","73.11","A","Official figure"
"TCL","Crops and livestock products","084","Belize","5622","Import Value","21121","Meat of chickens, fresh or chilled","2020","2020","1000 US$","35","A","Official figure"
"TCL","Crops and livestock products","084","Belize","5910","Export Quantity","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","15.95","A","Official figure"
"TCL","Crops and livestock products","084","Belize","5922","Export Value","21121","Meat of chickens, fresh or chilled","2020","2020","1000 US$","20","A","Official figure"
"TCL","Crops and livestock products","204","Benin","5609","Import Quantity","02151","Chickens","2020","2020","1000 Head","160","A","Official figure"
"TCL","Crops and livestock products","204","Benin","5622","Import Value","02151","Chickens","2020","2020","1000 US$","701","A","Official figure"
"TCL","Crops and livestock products","204","Benin","5909","Export Quantity","02151","Chickens","2020","2020","1000 Head","0","A","Official figure"
"TCL","Crops and livestock products","204","Benin","5922","Export Value","02151","Chickens","2020","2020","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","204","Benin","5610","Import Quantity","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","49749.83","A","Official figure"
"TCL","Crops and livestock products","204","Benin","5622","Import Value","21121","Meat of chickens, fresh or chilled","2020","2020","1000 US$","44081","A","Official figure"
"TCL","Crops and livestock products","204","Benin","5610","Import Quantity","21522","Poultry fat, rendered","2020","2020","tonnes","0.01","A","Official figure"
"TCL","Crops and livestock products","204","Benin","5622","Import Value","21522","Poultry fat, rendered","2020","2020","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","064","Bhutan","5609","Import Quantity","02151","Chickens","2020","2020","1000 Head","118","T","Unofficial figure"
"TCL","Crops and livestock products","064","Bhutan","5622","Import Value","02151","Chickens","2020","2020","1000 US$","97","T","Unofficial figure"
"TCL","Crops and livestock products","064","Bhutan","5610","Import Quantity","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","1108.82","T","Unofficial figure"
"TCL","Crops and livestock products","064","Bhutan","5622","Import Value","21121","Meat of chickens, fresh or chilled","2020","2020","1000 US$","2296","T","Unofficial figure"
"TCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5609","Import Quantity","02151","Chickens","2020","2020","1000 Head","1693","I","Imputed value"
"TCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5622","Import Value","02151","Chickens","2020","2020","1000 US$","9355","A","Official figure"
"TCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5610","Import Quantity","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","3005.78","A","Official figure"
"TCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5622","Import Value","21121","Meat of chickens, fresh or chilled","2020","2020","1000 US$","2872","A","Official figure"
