Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit (FAO),Produit,Code année,Année,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole
"PP","Prix à la Production","14","Barbade","5539","Indice des prix à la production (2014-2016 = 100)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","","105.24","I","Valeur imputée"
"PP","Prix à la Production","14","Barbade","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","109.41","I","Valeur imputée"
"PP","Prix à la Production","14","Barbade","5539","Indice des prix à la production (2014-2016 = 100)","1058","Viande, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","110.14","I","Valeur imputée"
"PP","Prix à la Production","57","Bélarus","5530","Prix à la Production (LCU/tonne)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","UML","2602.9","A","Chiffre officiel"
"PP","Prix à la Production","57","Bélarus","5531","Prix à la Production (SLC/tonne)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","MLS","2602.9","A","Chiffre officiel"
"PP","Prix à la Production","57","Bélarus","5532","Prix à la Production (USD/tonne)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","USD","1066.9","A","Chiffre officiel"
"PP","Prix à la Production","57","Bélarus","5539","Indice des prix à la production (2014-2016 = 100)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","","126.51","I","Valeur imputée"
"PP","Prix à la Production","57","Bélarus","5530","Prix à la Production (LCU/tonne)","1095","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","UML","1806.3","A","Chiffre officiel"
"PP","Prix à la Production","57","Bélarus","5531","Prix à la Production (SLC/tonne)","1095","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","MLS","1806.3","A","Chiffre officiel"
"PP","Prix à la Production","57","Bélarus","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","USD","740.4","A","Chiffre officiel"
"PP","Prix à la Production","57","Bélarus","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","128.28","I","Valeur imputée"
"PP","Prix à la Production","57","Bélarus","5539","Indice des prix à la production (2014-2016 = 100)","1058","Viande, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","89.66","I","Valeur imputée"
"PP","Prix à la Production","255","Belgique","5530","Prix à la Production (LCU/tonne)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","UML","580","A","Chiffre officiel"
"PP","Prix à la Production","255","Belgique","5531","Prix à la Production (SLC/tonne)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","MLS","580","A","Chiffre officiel"
"PP","Prix à la Production","255","Belgique","5532","Prix à la Production (USD/tonne)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","USD","662.4","A","Chiffre officiel"
"PP","Prix à la Production","255","Belgique","5539","Indice des prix à la production (2014-2016 = 100)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","","112.05","I","Valeur imputée"
"PP","Prix à la Production","255","Belgique","5530","Prix à la Production (LCU/tonne)","1095","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","UML","777.1","A","Chiffre officiel"
"PP","Prix à la Production","255","Belgique","5531","Prix à la Production (SLC/tonne)","1095","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","MLS","777.1","A","Chiffre officiel"
"PP","Prix à la Production","255","Belgique","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","USD","887.6","A","Chiffre officiel"
"PP","Prix à la Production","255","Belgique","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","87.02","I","Valeur imputée"
"PP","Prix à la Production","255","Belgique","5539","Indice des prix à la production (2014-2016 = 100)","1058","Viande, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","97.62","I","Valeur imputée"
"PP","Prix à la Production","23","Belize","5539","Indice des prix à la production (2014-2016 = 100)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","","107","I","Valeur imputée"
"PP","Prix à la Production","23","Belize","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","117.05","I","Valeur imputée"
