Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","233","Burkina Faso","513","Femmes","3010","Population-Estimations","2020","2020","1000 No","10785.622","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","233","Burkina Faso","551","Population rurale","3010","Population-Estimations","2020","2020","1000 No","14505.434","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","233","Burkina Faso","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 No","6397.911","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","29","Burundi","511","Population totale","3010","Population-Estimations","2020","2020","1000 No","12617.036","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","29","Burundi","512","Hommes","3010","Population-Estimations","2020","2020","1000 No","6264.949","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","29","Burundi","513","Femmes","3010","Population-Estimations","2020","2020","1000 No","6352.087","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","29","Burundi","551","Population rurale","3010","Population-Estimations","2020","2020","1000 No","10302.641","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","29","Burundi","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 No","1636.586","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","35","Cabo Verde","511","Population totale","3010","Population-Estimations","2020","2020","1000 No","514.679","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","35","Cabo Verde","512","Hommes","3010","Population-Estimations","2020","2020","1000 No","261.788","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","35","Cabo Verde","513","Femmes","3010","Population-Estimations","2020","2020","1000 No","252.892","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","35","Cabo Verde","551","Population rurale","3010","Population-Estimations","2020","2020","1000 No","189.2","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","35","Cabo Verde","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 No","378.148","X","Chiffre de sources internationales",""
