Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","344","China, Hong Kong SAR","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","61328.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","344","China, Hong Kong SAR","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","0.06","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","446","China, Macao SAR","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","115.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","446","China, Macao SAR","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","74.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","446","China, Macao SAR","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","60597.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","446","China, Macao SAR","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","1.14","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","156","China, mainland","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","123.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","156","China, mainland","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","48.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","156","China, mainland","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","18833.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","158","China, Taiwan Province of","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","97.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","158","China, Taiwan Province of","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","55.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","170","Colombia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","80.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","170","Colombia","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","44.8","E","Estimated value",""
